Course Title,Course Description,Antirequisites,Prerequisites,Extra Information,Course Weight,Subject
Computer Science 2120A/B MODERN SURVIVAL SKILLS I: CODING ESSENTIALS,Essential information processing and coding skills for students. Includes core concepts of algorithms and data structures; creating programs and scripts to address problems that arise in applied research; examples of data sets and analyses drawn from a variety of disciplines. No previous programming background assumed.,"Computer Science 1025A/B, Engineering Science 1036A/B, Digital Humanities 2220A/B",,"3 lecture hours, 2 laboratory/tutorial hours.",0.50,Computer Science
Computer Science 2121A/B MODERN SURVIVAL SKILLS II: PROBLEM SOLVING THROUGH PROGRAMMING,"An overview of core data structures and algorithms in computing, with a focus on applications to informatics and analytics in a variety of disciplines. Includes lists, stacks, queues, trees, graphs, and their associated algorithms; sorting, searching, and hashing techniques. Suitable for non-Computer Science students.","Computer Science 1027A/B, Computer Science 1037A/B, Digital Humanities 2221A/B","Computer Science 2120A/B, Digital Humanities 2220A/B, Integrated Science 1001X","3 lecture hours, 1 laboratory/tutorial hours.",0.50,Computer Science
Computer Science 2124A/B INTRODUCTION TO MEDICAL COMPUTING,"This course introduces computing fundamentals as they relate to medical computing. A series of topics is covered, including topics selected from: health information systems and standards, data privacy, medical imaging, modeling, simulation and data analysis, computer-aided diagnosis, embedded software in instruments, computer-aided procedures and telemedicine.",Computer Science 2125F/G,"Calculus 1000A/B, Calculus 1301A/B, Calculus 1500A/B, Calculus 1501A/B, Mathematics 1225A/B, Mathematics 1228A/B, Mathematics 1229A/B, Mathematics 1600A/B, Statistical Sciences 1024A/B, Applied Mathematics 1201A/B, Applied Mathematics 1413",3 lecture hours.,0.50,Computer Science
Computer Science 2125F/G INTRODUCTION TO MEDICAL COMPUTING,"This course will cover the same material as  Computer Science 2124A/B,  but will also provide students with the opportunity to enhance their essay-writing skills while pursuing assignments and/or projects involving medical computing.",Computer Science 2124A/B,,3 lecture hours.,0.50,Computer Science
Computer Science 2208A/B INTRODUCTION TO COMPUTER ORGANIZATION AND ARCHITECTURE,This course gives an understanding of what a modern computer can do. It covers the internal representation of various data types and focuses on the architectural components of computers (how these components are interconnected and the nature of the information flow between them). Assembly language is used to reinforce these issues.,,"Computer Science 1027A/B, Computer Science 1037A/B, Computer Science 2101A/B, Integrated Science 1001X","3 lecture hours, 1 laboratory hour.",0.50,Computer Science
Computer Science 2209A/B APPLIED LOGIC FOR COMPUTER SCIENCE,"Propositional and predicate logic; representing static and dynamic properties of real-world systems; logic as a tool for representation, reasoning and calculation; logic and programming.",,"Computer Science 1027A/B, Computer Science 1037A/B, Computer Science 2101A/B, Computer Science 2121A/B, Digital Humanities 2221A/B, Applied Mathematics 1201A/B, Applied Mathematics 1413, Calculus 1000A/B, Calculus 1301A/B, Calculus 1500A/B, Calculus 1501A/B, Mathematics 1600A/B, Integrated Science 1001X",4 lecture hours.,0.50,Computer Science
Computer Science 2210A/B DATA STRUCTURES AND ALGORITHMS,"Lists, stacks, queues, priority queues, trees, graphs, and their associated algorithms; file structures; sorting, searching, and hashing techniques; time and space complexity.",Software Engineering 2205A/B,"Computer Science 1027A/B, Computer Science 1037A/B, Computer Science 2101A/B, Computer Science 2121A/B, Digital Humanities 2221A/B, Applied Mathematics 1201A/B, Applied Mathematics 1413, Calculus 1000A/B, Calculus 1301A/B, Calculus 1500A/B, Calculus 1501A/B, Mathematics 1600A/B, Integrated Science 1001X",3 lecture hours.,0.50,Computer Science
Computer Science 2211A/B SOFTWARE TOOLS AND SYSTEMS  PROGRAMMING,"An introduction to software tools and systems programming. Topics include: understanding how programs execute (compilation, linking and loading); an introduction to a complex operating system (UNIX); scripting languages; the C programming language; system calls; memory management; libraries; multi-component program organization and builds; version control; debuggers and profilers.",,"Computer Science 1027A/B, Computer Science 1037A/B, Computer Science 2101A/B, Integrated Science 1001X","3 lecture hours, 1 laboratory/tutorial hour.",0.50,Computer Science
Computer Science 2212A/B/Y INTRODUCTION TO SOFTWARE ENGINEERING,"A team project course that provides practical experience in the software engineering field. Introduction to the structure and unique characteristics of large software systems, and concepts and techniques in the design, management and implementation of large software systems.",Software Engineering 2203A/B,"Computer Science 2210A/B, Computer Science 2211A/B",3 lecture/tutorial hours.,0.50,Computer Science
Computer Science 2214A/B DISCRETE STRUCTURES FOR COMPUTING,"This course presents an introduction to the mathematical foundations of computer science, with an emphasis on mathematical reasoning, combinatorial analysis, discrete structures, applications and modeling, and algorithmic thinking. Topics include sets, functions, relations, algorithms, number theory, matrices, mathematical reasoning, counting, graphs and trees.","Mathematics 2151A/B, Mathematics 2155F/G","Computer Science 1027A/B, Computer Science 1037A/B, Computer Science 2101A/B, Applied Mathematics 1201A/B, Applied Mathematics 1413, Calculus 1000A/B, Calculus 1301A/B, Calculus 1500A/B, Calculus 1501A/B, Mathematics 1600A/B, Integrated Science 1001X","3 lecture hours, 1 laboratory/tutorial hour.",0.50,Computer Science
Computer Science 3101A/B THEORY AND PRACTICE OF HIGH PERFORMANCE COMPUTING,"A comprehensive exploration of High Performance Computing (HPC), examining advanced theory and practice in the creation of HPC applications for a wide variety of domains. Topics include programming shared and distributed memory machines, multicore and manycore architectures, optimization techniques and performance analysis. Suitable for non Computer Science students.",,"Computer Science 2101A/B, Computer Science 2211A/B","3 lecture hours, 1 laboratory/tutorial hours.",0.50,Computer Science
Computer Science 3120A/B DATABASES FOR INFORMATICS AND ANALYTICS,"A study of modern database systems and their applications to and use in informatics and analytics. Topics include database design, querying, administration, security, and privacy. Suitable for non Computer Science students.","Computer Science 3319A/B, Software Engineering 3309A/B, Digital Humanities 3220A/B","Computer Science 2121A/B, Digital Humanities 2221A/B","2 lecture hours, 2 laboratory/tutorial hours.",0.50,Computer Science
Computer Science 3121A/B ARTIFICIAL INTELLIGENCE FOR INFORMATICS AND ANALYTICS,"An introduction to artificial intelligence, focused on its application to informatics and analytics. Topics include knowledge representation; logic and reasoning; searching; inferencing; expert systems. Suitable for non Computer Science students.",Computer Science 3346A/B,Computer Science 2121A/B,"2 lecture hours, 2 laboratory/tutorial hours.",0.50,Computer Science
Computer Science 3305A/B OPERATING SYSTEMS,Survey of major operating systems; interprocess communication; multi-tasking; scheduling; memory management; performance and measurement issues; trade-offs in operating system design; concurrency and deadlock.,Software Engineering 3313A/B,"Computer Science 2208A/B, Computer Science 2211A/B, Computer Science 2101A/B, Computer Science 2208A/B, Computer Science 2210A/B, Computer Science 2211A/B, ECE 3375A/B",3 lecture hours.,0.50,Computer Science
Computer Science 3307A/B/Y OBJECT-ORIENTED DESIGN AND ANALYSIS,"Software design and analysis techniques with particular emphasis on object-oriented design and analysis; a team project will be developed using an object-oriented language such as Java, C++ or Smalltalk.",Software Engineering 3350A/B,"Computer Science 2212A/B/Y, Computer Science 2210A/B, Computer Science 2211A/B, Electrical and Computer Engineering 3375A/B",3 lecture hours.,0.50,Computer Science
Computer Science 3319A/B DATABASES I,"A comparative study of hierarchical, network and relational databases. A survey of some commercially available database systems. Database standards; security and integrity, database administration; database design; concurrency control.","Computer Science 3120A/B, Digital Humanities 3220A/B, Software Engineering 3309A/B","Computer Science 2210A/B, Computer Science 2211A/B",3 lecture hours.,0.50,Computer Science
Computer Science 3320A/B NUMERICAL COMPUTING I,Numerical representations and their impact on numerical computing; error analysis. Numerical algorithms; reliability and portability of mathematical software; review of existing packages.,,"Computer Science 2212A/B/Y, Calculus 1000A/B, Calculus 1500A/B, Applied Mathematics 1201A/B, Calculus 1301A/B, Calculus 1501A/B, Mathematics 1600A/B",3 lecture hours.,0.50,Computer Science
Computer Science 3325A/B LAW IN COMPUTER SCIENCE,"An examination of aspects of law and policy that relate to the creation, protection and implementation of software and hardware; attention is directed towards issues of current importance of which every computer scientist should be aware.",Computer Science 3326F/G,"Computer Science 2208A/B, Computer Science 2209A/B, Computer Science 2210A/B, Computer Science 2211A/B, Computer Science 2212A/B/Y",3 lecture hours.Note: Cannot be taken for credit by students in the concurrent degree program in Law and Computer Science.,0.50,Computer Science
Computer Science 3326F/G LAW IN COMPUTER SCIENCE,"This course will cover the same material as  Computer Science 3325A/B,  but will also provide students with the opportunity to enhance their essay-writing skills while pursuing assignments and/or projects involving law in computer science.",Computer Science 3325A/B,"Computer Science 2208A/B, Computer Science 2209A/B, Computer Science 2210A/B, Computer Science 2211A/B, Computer Science 2212A/B/Y",3 lecture hours.Note: Cannot be taken for credit by students in the concurrent degree program in Law and Computer Science.,0.50,Computer Science
Computer Science 3331A/B FOUNDATIONS OF COMPUTER SCIENCE I,"Languages as sets of strings over an alphabet; operations on languages; finite automata, regular expressions; language hierarchy; Turing machines; models of computation.",,"Computer Science 2214A/B, Mathematics 2155F/G",3 lecture hours.,0.50,Computer Science
Computer Science 3333A/B SELECTED TOPICS,Special topics on the frontiers of Computer Science. The topic may vary each year.,,"Computer Science 2208A/B, Computer Science 2209A/B, Computer Science 2212A/B/Y",3 lecture hours.,0.50,Computer Science
Computer Science 3334A/B/Y SELECTED TOPICS,Special topics on the frontiers of Computer Science. The topic may vary each year.,,"Computer Science 2208A/B, Computer Science 2209A/B, Computer Science 2212A/B/Y",3 lecture hours.,0.50,Computer Science
Computer Science 3335A/B/Y SELECTED TOPICS,Special topics on the frontiers of Computer Science. The topic may vary each year.,,"Computer Science 2208A/B, Computer Science 2209A/B, Computer Science 2212A/B/Y",3 lecture hours.,0.50,Computer Science
Computer Science 3336A/B/Y SELECTED TOPICS,Special topics on the frontiers of Computer Science. The topic may vary each year.,,"Computer Science 2208A/B, Computer Science 2209A/B, Computer Science 2212A/B/Y",3 lecture hours.,0.50,Computer Science
Computer Science 3340A/B ANALYSIS OF ALGORITHMS I,Upper and lower time and space bounds; levels of intractability; graph algorithms; greedy algorithms; dynamic algorithms; exhaustive search techniques; parallel algorithms.,,"Computer Science 2210A/B, Computer Science 2211A/B, Computer Science 2214A/B, Mathematics 2155F/G, Computer Science 2101A/B",3 lecture hours.,0.50,Computer Science
Computer Science 3342A/B ORGANIZATION OF PROGRAMMING LANGUAGES,Specification and analysis of programming languages; data types and structures; bindings and access structures; run-time behavior of programs; compilation vs. interpretation. Comparative presentation of at least three programming languages addressing the above concepts.,,"Computer Science 2211A/B, Software Engineering 3313A/B",3 lecture hours.,0.50,Computer Science
Computer Science 3346A/B ARTIFICIAL INTELLIGENCE I,Introduction to Artificial Intelligence; logic programming; heuristic search; knowledge representation; expert systems.,Computer Science 3121A/B,"Computer Science 2210A/B, Computer Science 2211A/B, Software Engineering 2203A/B, Software Engineering 2205A/B, Software Engineering 2250A/B, Computer Science 2209A/B",3 lecture hours.,0.50,Computer Science
Computer Science 3350A/B COMPUTER ORGANIZATION,"Topics include: semiconductor technologies, gates and circuits, buses, semiconductor memories, peripheral interfaces, I/O techniques, A/D conversion, standards, RISC.",ECE 3375A/B,"Computer Science 2208A/B, Computer Science 2210A/B, Computer Science 2211A/B, Computer Science 2209A/B, Computer Science 2101A/B",3 lecture hours.,0.50,Computer Science
Computer Science 3357A/B COMPUTER NETWORKS I,Common network protocols; inter-networking; gateways; routers; bridges; survey of commercial architectures; standards.,ECE 4436A/B,"Computer Science 2210A/B, Computer Science 2211A/B",3 lecture hours.,0.50,Computer Science
Computer Science 3375A/B DATA VISUALIZATION,This interdisciplinary course addresses three main issues: how information can and should be represented; how computers can allow us to interact with information; and how interactive information supports knowledge-driven activities. Case studies explore a variety of disciplines using various tools. Suitable for both Computer Science and non Computer Science students.,Digital Humanities 3221A/B,"Computer Science 2121A/B, Computer Science 2210A/B, Digital Humanities 2221A/B","2 lecture hours, 2 laboratory/tutorial hours.",0.50,Computer Science
Computer Science 3377A/B SOFTWARE PROJECT MANAGEMENT,"The software development life cycle; resourcing, scheduling and estimating techniques for software project management; project management organizational concerns, including project economic analysis, human resources, proposal development, risk management, software implementation, and technology-strategic alignment.","Science 3377A/B, SE 3351A/B",Computer Science 2212A/B/Y,3 lecture hours.,0.50,Computer Science
Computer Science 3380F/G/Z PROJECT,"A supervised study involving a research paper, the design of or development of a software project.","Computer Science 4460Z, Computer Science 4480Y, Computer Science 4490Z",Computer Science 2212A/B/Y,3 lecture hours.,0.50,Computer Science
Computer Science 3388A/B COMPUTER GRAPHICS I,The viewing pipeline; clipping and visibility problems. The graphical kernel system; picture generation and user interfaces.,,"Computer Science 2211A/B, Computer Science 2101A/B, Software Engineering 2203A/B, Software Engineering 2205A/B, Software Engineering 2250A/B, Mathematics 1600A/B, Applied Mathematics 1411A/B",3 lecture hours.,0.50,Computer Science
Computer Science 4402A/B DISTRIBUTED AND PARALLEL SYSTEMS,"Issues arising in distributed and parallel systems and applications; related architectures such as connection machines, shared memory multiprocessors.",,"Computer Science 3305A/B, Computer Science 3357A/B, ECE 4436A/B",3 lecture hours.,0.50,Computer Science
Computer Science 4411A/B DATABASES II,Advanced database topics such as: query optimization and execution; advanced concurrency control and recovery concepts; distributed databases; XML databases; database security and privacy; databases in the cloud; information retrieval.,,"Computer Science 3319A/B, Computer Science 3120A/B",3 lecture hours.,0.50,Computer Science
Computer Science 4412A/B DATA MINING AND ITS APPLICATIONS,"Databases and data warehouses; online analytic processing (OLAP); applications of data mining in business intelligence, e-business, and bioinformatics; various inductive learning algorithms; clustering and learning associations; solving real-world problems with data mining.",,"Computer Science 3319A/B, Computer Science 3346A/B, Computer Science 3120A/B, Computer Science 3121A/B, Statistical Sciences 2141A/B, Statistical Sciences 2244A/B, Biology 2244A/B",3 lecture hours.,0.50,Computer Science
Computer Science 4413A/B CRYPTOGRAPHY AND SECURITY,"Survey of the principles and practice of cryptography and network security: classical cryptography, public-key cryptography and cryptographic protocols, network and system security.",,Computer Science 3340A/B,3 lecture hours.,0.50,Computer Science
Computer Science 4414A/B INTRODUCTION TO DATA SCIENCE I,Introduces machine learning and statistical methods for data analysis through applied examples. Particular emphasis is placed on how to rigorously evaluate an analysis of data. Students will develop a data science analysis project using the methods covered in class. Also suitable for non-Computer Science students.,Computer Science 4437A/B/Y,"Biology 2244A/B, Statistical Sciences 2035, Statistical Sciences 2141A/B, Statistical Sciences 2143A/B, Statistical Sciences 2244A/B, Statistical Sciences 2858A/B, Computer Science 1025A/B, Computer Science 1026A/B, Computer Science 1027A/B, Computer Science 1037A/B, Computer Science 2120A/B, Computer Science 2121A/B, Digital Humanities 2220A/B, Digital Humanities 2221A/B, Engineering Science 1036A/B, Mathematics 1229A/B, Mathematics 1600A/B, Applied Mathematics 1411A/B",3 lecture hours.,0.50,Computer Science
Computer Science 4415A/B WHAT IS COGNITIVE COMPUTING?,"In this course, students will learn the foundational algorithms and technologies underlying the field of cognitive computing and have the opportunity to apply, in groups, what they have learned to real-world problems.",Computer Science 4435A/B/Y,"Computer Science 3121A/B, Computer Science 3346A/B",3 lecture hours.,0.50,Computer Science
Computer Science 4416A/B DATA SCIENCE II,"Students will learn to develop and extend data science methods in order to solve new problems. Approaches covered will include convex loss/regularization, graphical models, and neural networks.",,Computer Science 4414A/B,3 lecture hours.,0.50,Computer Science
Computer Science 4417A/B UNSTRUCTURED DATA,"Management and analysis of unstructured data, with a focus on text data, for example transaction logs, news text, article abstracts, and microblogs. Overview of unstructured image, audio, and video data. Hands-on experience with modern distributed data management and analysis infrastructure.",Computer Science 4433A/B/Y,"Computer Science 3319A/B, Computer Science 4414A/B",3 lecture hours.,0.50,Computer Science
Computer Science 4418A/B INTRODUCTION TO VISUAL ANALYTICS,"Students will learn how to conceptualize and design systems that integrate data visualization, interactive machine learning, and human-data interaction to support complex data-driven analytical tasks and activities which humans encounter in different fields. Visual analytics concepts and components will be studied in the context of human-centred computing.",,"Computer Science 4414A/B, Pre-or Corequisite(s):, Computer Science 4416A/B",3 lecture hours.,0.50,Computer Science
Computer Science 4424A/B FOUNDATIONS OF COMPUTER ALGEBRA,"Introduction to computer algebra, algorithms and data structures for integer and polynomial arithmetic, symbolic differentiation and integration, type systems for computer algebra, mathematical communication, software systems including Maple and MathML.",,,3 lecture hours.,0.50,Computer Science
Computer Science 4432A/B FOUNDATIONS OF COMPUTER SCIENCE II,Formal languages; recursive functions; abstract complexity; automaton models; array machines; systolic systems; cellular automata.,,Computer Science 3331A/B,3 lecture hours.,0.50,Computer Science
Computer Science 4433A/B/Y SELECTED TOPICS,"Advanced Computer Science topics, reflecting current research interests within the Department. The particular topics will be available from the Department prior to registration.",,"Computer Science 3305A/B, Computer Science 3307A/B/Y, Computer Science 3331A/B, Computer Science 3340A/B, Computer Science 3342A/B, Computer Science 3350A/B",3 lecture hours.,0.50,Computer Science
Computer Science 4434A/B/Y SELECTED TOPICS,"Advanced Computer Science topics, reflecting current research interests within the Department. The particular topics will be available from the Department prior to registration.",,"Computer Science 3305A/B, Computer Science 3307A/B/Y, Computer Science 3331A/B, Computer Science 3340A/B, Computer Science 3342A/B, Computer Science 3350A/B",3 lecture hours.,0.50,Computer Science
Computer Science 4435A/B/Y SELECTED TOPICS,"Advanced Computer Science topics, reflecting current research interests within the Department. The particular topics will be available from the Department prior to registration.",,"Computer Science 3305A/B, Computer Science 3307A/B/Y, Computer Science 3331A/B, Computer Science 3340A/B, Computer Science 3342A/B, Computer Science 3350A/B",3 lecture hours.,0.50,Computer Science
Computer Science 4436A/B/Y SELECTED TOPICS,"Computer Science topics, reflecting current research interests within the Department. The particular topics will be available from the Department prior to registration.",,"Computer Science 3305A/B, Computer Science 3307A/B/Y, Computer Science 3331A/B, Computer Science 3340A/B, Computer Science 3342A/B, Computer Science 3350A/B",3 lecture hours.,0.50,Computer Science
Computer Science 4437A/B/Y SELECTED TOPICS,"Advanced Computer Science topics, reflecting current research interests within the Department. The particular topics will be available from the Department prior to registration.",,"Computer Science 3305A/B, Computer Science 3307A/B/Y, Computer Science 3331A/B, Computer Science 3340A/B, Computer Science 3342A/B, Computer Science 3350A/B",3 lecture hours.,0.50,Computer Science
Computer Science 4438A/B/Y SELECTED TOPICS,"Advanced Computer Science topics, reflecting current research interests within the Department. The particular topics will be available from the Department prior to registration.",,"Computer Science 3305A/B, Computer Science 3307A/B/Y, Computer Science 3331A/B, Computer Science 3340A/B, Computer Science 3342A/B, Computer Science 3350A/B",3 lecture hours.,0.50,Computer Science
Computer Science 4442A/B ARTIFICIAL INTELLIGENCE II,A selection from: first order logic and theorem proving; computational linguistics; computer vision; robotics; knowledge acquisition; machine learning.,,"Mathematics 1600A/B, Applied Mathematics 1411A/B, Software Engineering 3350A/B",3 lecture hours.,0.50,Computer Science
Computer Science 4444A/B SEMANTICS OF PROGRAMMING LANGUAGES,"Operational, denotational, and axiomatic semantics; lambda-calculus.",,"Computer Science 2209A/B, Computer Science 3331A/B, Computer Science 3342A/B",3 lecture hours.,0.50,Computer Science
Computer Science 4445A/B ANALYSIS OF ALGORTIHMS II,"Parallel, distributed, probabilistic, and geometric algorithms; design and analysis; computational geometry; fractals and graphtals.",,"Computer Science 3340A/B, Software Engineering 2205A/B",3 lecture hours.,0.50,Computer Science
Computer Science 4447A/B COMPILER THEORY,"Syntax-directed translation; LR(k), LL(k), attribute grammars; code generation; optimization; compiler compilers; code generator generators.",,"Computer Science 3331A/B, Computer Science 3342A/B",3 lecture hours.,0.50,Computer Science
Computer Science 4457A/B/Y COMPUTER NETWORKS II,"Network layering, performance, management, modelling and simulation; faults and failures.",,"Computer Science 3305A/B, Computer Science 3357A/B",3 lecture hours.,0.50,Computer Science
Computer Science 4460Z BIOINFORMATICS THESIS,"A project or research paper in an area related to bioinformatics, completed under faculty supervision. An oral presentation plus a written submission will be required.","Computer Science 3380F/G/Z, Computer Science 4470Y, Computer Science 4480Y, Computer Science 4490Z","Computer Science 3331A/B, Computer Science 3340A/B, Biochemistry 2280A, Chemistry 2213A/B, Computer Science 3319A/B, Computer Science 3346A/B",3 lecture hours.,0.50,Computer Science
Computer Science 4461A/B BIOINFORMATICS TOOLS AND APPLICATIONS,Introduction to popular bioinformatics software tools and their applications in solving complex biological problems; analysis of the algorithms behind bioinformatics tools.,,"Computer Science 3331A/B, Computer Science 3340A/B, Biochemistry 2280A",3 lecture hours.,0.50,Computer Science
Computer Science 4462A/B DNA COMPUTING,Biomolecular (DNA) computing is a computation paradigm that proposes the use of molecular biology tools to solve mathematical and computational problems. Ways of encoding information in DNA sequences; molecular procedures used for computation; classes of problems solvable by DNA computing; feasibility and advantages of a DNA computer.,,"Computer Science 2209A/B, Computer Science 3331A/B, Biochemistry 2280A",3 lecture hours.,0.50,Computer Science
Computer Science 4463A/B COMPUTATIONAL BIOLOGY,"Bioinformatics studies biological problems using biological, computational, and mathematical methods. Computational biology studies computational techniques that can solve biological problems efficiently. This course emphasizes the design, analysis and implementation of algorithms for problems motivated from molecular biology research.",,"Computer Science 3331A/B, Computer Science 3340A/B, Software Engineering 2205A/B, Software Engineering 3310A/B, Biochemistry 2280A",3 lecture hours.,0.50,Computer Science
Computer Science 4470Y SOFTWARE MAINTENANCE AND CONFIGURATION MANAGMENT,"An examination of industrial-style software development issues related to managing and maintaining large-scale software systems; in a group project, students will examine software maintenance and configuration management concepts, tools, techniques, risks and benefits; case studies.","Computer Science 4460Z, Computer Science 4480Y, Computer Science 4490Z","Computer Science 3307A/B/Y, Computer Science 3305A/B, Computer Science 3331A/B, Computer Science 3340A/B, Computer Science 3342A/B, Computer Science 3350A/B",3 lecture hours.,0.50,Computer Science
Computer Science 4471A/B SOFTWARE DESIGN AND ARCHITECTURE,Introduction to advanced software design concepts; architectures of complex software systems; domain-independent design patterns; creation of a functional partitioning for a novel domain; recognition of common architectural idioms.,,Computer Science 3307A/B/Y,3 lecture hours.,0.50,Computer Science
Computer Science 4472A/B SPECIFICATION TESTING AND QUALITY,Concepts and state of the art techniques in software specification and quality assessment for software engineering; quality attributes; formal specification and analysis; verification and validation.,Software Engineering 4452A/B,Computer Science 3307A/B/Y,3 lecture hours.,0.50,Computer Science
Computer Science 4473A/B REQUIREMENT ANALYSIS,"The development of requirements for software-intensive systems through successful requirements analysis techniques and requirements engineering; an in-depth study of methods, tools, notations, and validation techniques for the analysis and specification of software requirements.",Software Engineering 3352A/B,Computer Science 3307A/B/Y,3 lecture hours.,0.50,Computer Science
Computer Science 4474A/B HUMAN-COMPUTER INTERACTION,"Exposure to topics in human-computer interaction, including: frameworks for human-computer interaction; requirements gathering; rapid prototyping; user interface systems and tool kits.",Software Engineering 3353A/B,Computer Science 3307A/B/Y,3 lecture hours.,0.50,Computer Science
